ID	Group	Date	Time	BT
S18	Non-hib	19.02.2020	12:45:01	35,036
S18	Non-hib	19.02.2020	13:05:01	35,099
S18	Non-hib	19.02.2020	13:25:01	35,598
S18	Non-hib	19.02.2020	13:45:01	35,535
S18	Non-hib	19.02.2020	14:05:01	35,036
S18	Non-hib	19.02.2020	14:25:01	35,91
S18	Non-hib	19.02.2020	14:45:01	36,159
S18	Non-hib	19.02.2020	15:05:01	35,91
S18	Non-hib	19.02.2020	15:25:01	36,097
S18	Non-hib	19.02.2020	15:45:01	36,034
S18	Non-hib	19.02.2020	16:05:01	36,97
S18	Non-hib	19.02.2020	16:25:01	36,845
S18	Non-hib	19.02.2020	16:45:01	36,596
S18	Non-hib	19.02.2020	17:05:01	36,658
S18	Non-hib	19.02.2020	17:25:01	36,034
S18	Non-hib	19.02.2020	17:45:01	35,535
S18	Non-hib	19.02.2020	18:05:01	35,224
S18	Non-hib	19.02.2020	18:25:01	36,409
S18	Non-hib	19.02.2020	18:45:01	35,473
S18	Non-hib	19.02.2020	19:05:01	36,034
S18	Non-hib	19.02.2020	19:25:01	35,66
S18	Non-hib	19.02.2020	19:45:01	35,723
S18	Non-hib	19.02.2020	20:05:01	36,721
S18	Non-hib	19.02.2020	20:25:01	36,783
S18	Non-hib	19.02.2020	20:45:01	36,159
S18	Non-hib	19.02.2020	21:05:01	36,471
S18	Non-hib	19.02.2020	21:25:01	36,159
S18	Non-hib	19.02.2020	21:45:01	35,348
S18	Non-hib	19.02.2020	22:05:01	37,656
S18	Non-hib	19.02.2020	22:25:01	38,28
S18	Non-hib	19.02.2020	22:45:01	37,469
S18	Non-hib	19.02.2020	23:05:01	37,032
S18	Non-hib	19.02.2020	23:25:01	36,284
S18	Non-hib	19.02.2020	23:45:01	36,034
S18	Non-hib	20.02.2020	00:05:01	36,97
S18	Non-hib	20.02.2020	00:25:01	36,222
S18	Non-hib	20.02.2020	00:45:01	35,598
S18	Non-hib	20.02.2020	01:05:01	36,471
S18	Non-hib	20.02.2020	01:25:01	38,28
S18	Non-hib	20.02.2020	01:45:01	37,594
S18	Non-hib	20.02.2020	02:05:01	37,407
S18	Non-hib	20.02.2020	02:25:01	36,534
S18	Non-hib	20.02.2020	02:45:01	35,535
S18	Non-hib	20.02.2020	03:05:01	35,099
S18	Non-hib	20.02.2020	03:25:01	35,847
S18	Non-hib	20.02.2020	03:45:01	36,284
S18	Non-hib	20.02.2020	04:05:01	37,656
S18	Non-hib	20.02.2020	04:25:01	37,718
S18	Non-hib	20.02.2020	04:45:01	36,908
S18	Non-hib	20.02.2020	05:05:01	36,346
S18	Non-hib	20.02.2020	05:25:01	35,785
S18	Non-hib	20.02.2020	05:45:01	35,473
S18	Non-hib	20.02.2020	06:05:01	36,222
S18	Non-hib	20.02.2020	06:25:01	35,723
S18	Non-hib	20.02.2020	06:45:01	35,161
S18	Non-hib	20.02.2020	07:05:01	36,097
S18	Non-hib	20.02.2020	07:25:01	36,159
S18	Non-hib	20.02.2020	07:45:01	35,91
S18	Non-hib	20.02.2020	08:05:01	35,473
S18	Non-hib	20.02.2020	08:25:01	36,034
S18	Non-hib	20.02.2020	08:45:01	35,411
S18	Non-hib	20.02.2020	09:05:01	35,598
S18	Non-hib	20.02.2020	09:25:01	36,034
S18	Non-hib	20.02.2020	09:45:01	35,972
S18	Non-hib	20.02.2020	10:05:01	35,473
S18	Non-hib	20.02.2020	10:25:01	35,723
S18	Non-hib	20.02.2020	10:45:01	36,346
S18	Non-hib	20.02.2020	11:05:01	35,847
S18	Non-hib	20.02.2020	11:25:01	35,723
S18	Non-hib	20.02.2020	11:45:01	35,411
S18	Non-hib	20.02.2020	12:05:01	35,598
S18	Non-hib	20.02.2020	12:25:01	36,721
S18	Non-hib	20.02.2020	12:45:01	36,346
S18	Non-hib	20.02.2020	13:05:01	35,91
S18	Non-hib	20.02.2020	13:25:01	36,034
S18	Non-hib	20.02.2020	13:45:01	36,159
S18	Non-hib	20.02.2020	14:05:01	35,972
S18	Non-hib	20.02.2020	14:25:01	36,721
S18	Non-hib	20.02.2020	14:45:01	36,097
S18	Non-hib	20.02.2020	15:05:01	35,91
S18	Non-hib	20.02.2020	15:25:01	35,972
S18	Non-hib	20.02.2020	15:45:01	36,596
S18	Non-hib	20.02.2020	16:05:01	36,097
S18	Non-hib	20.02.2020	16:25:01	35,972
S18	Non-hib	20.02.2020	16:45:01	36,845
S18	Non-hib	20.02.2020	17:05:01	36,596
S18	Non-hib	20.02.2020	17:25:01	36,721
S18	Non-hib	20.02.2020	17:45:01	36,721
S18	Non-hib	20.02.2020	18:05:01	37,095
S18	Non-hib	20.02.2020	18:25:01	36,471
S18	Non-hib	20.02.2020	18:45:01	36,159
S18	Non-hib	20.02.2020	19:05:01	36,409
S18	Non-hib	20.02.2020	19:25:01	35,66
S18	Non-hib	20.02.2020	19:45:01	35,411
S18	Non-hib	20.02.2020	20:05:01	36,534
S18	Non-hib	20.02.2020	20:25:01	36,222
S18	Non-hib	20.02.2020	20:45:01	36,908
S18	Non-hib	20.02.2020	21:05:01	36,783
S18	Non-hib	20.02.2020	21:25:01	36,471
S18	Non-hib	20.02.2020	21:45:01	36,471
S18	Non-hib	20.02.2020	22:05:01	36,783
S18	Non-hib	20.02.2020	22:25:01	37,157
S18	Non-hib	20.02.2020	22:45:01	36,159
S18	Non-hib	20.02.2020	23:05:01	38,404
S18	Non-hib	20.02.2020	23:25:01	37,407
S18	Non-hib	20.02.2020	23:45:01	37,157
S18	Non-hib	21.02.2020	00:05:01	36,534
S18	Non-hib	21.02.2020	00:25:01	37,032
S18	Non-hib	21.02.2020	00:45:01	36,471
S18	Non-hib	21.02.2020	01:05:01	36,845
S18	Non-hib	21.02.2020	01:25:01	37,282
S18	Non-hib	21.02.2020	01:45:01	37,032
S18	Non-hib	21.02.2020	02:05:01	36,596
S18	Non-hib	21.02.2020	02:25:01	37,22
S18	Non-hib	21.02.2020	02:45:01	37,095
S18	Non-hib	21.02.2020	03:05:01	36,346
S18	Non-hib	21.02.2020	03:25:01	35,847
S18	Non-hib	21.02.2020	03:45:01	35,411
S18	Non-hib	21.02.2020	04:05:01	36,471
S18	Non-hib	21.02.2020	04:25:01	36,284
S18	Non-hib	21.02.2020	04:45:01	36,159
S18	Non-hib	21.02.2020	05:05:01	36,097
S18	Non-hib	21.02.2020	05:25:01	36,471
S18	Non-hib	21.02.2020	05:45:01	36,845
S18	Non-hib	21.02.2020	06:05:01	36,97
S18	Non-hib	21.02.2020	06:25:01	35,972
S18	Non-hib	21.02.2020	06:45:01	35,66
S18	Non-hib	21.02.2020	07:05:01	35,598
S18	Non-hib	21.02.2020	07:25:01	36,284
S18	Non-hib	21.02.2020	07:45:01	35,847
S18	Non-hib	21.02.2020	08:05:01	35,348
S18	Non-hib	21.02.2020	08:25:01	36,097
S18	Non-hib	21.02.2020	08:45:01	36,346
S18	Non-hib	21.02.2020	09:05:01	35,161
S18	Non-hib	21.02.2020	09:25:01	35,161
S18	Non-hib	21.02.2020	09:45:01	35,348
S18	Non-hib	21.02.2020	10:05:01	35,66
S18	Non-hib	21.02.2020	10:25:01	35,161
S18	Non-hib	21.02.2020	10:45:01	35,91
S18	Non-hib	21.02.2020	11:05:01	35,785
S18	Non-hib	21.02.2020	11:25:01	35,785
S18	Non-hib	21.02.2020	11:45:01	35,224
S18	Non-hib	21.02.2020	12:05:01	35,411
S18	Non-hib	21.02.2020	12:25:01	35,099
S18	Non-hib	21.02.2020	12:45:01	36,596
S18	Non-hib	21.02.2020	13:05:01	36,409
S18	Non-hib	21.02.2020	13:25:01	35,598
S18	Non-hib	21.02.2020	13:45:01	35,847
S18	Non-hib	21.02.2020	14:05:01	35,785
S18	Non-hib	21.02.2020	14:25:01	35,348
S18	Non-hib	21.02.2020	14:45:01	35,847
S18	Non-hib	21.02.2020	15:05:01	36,658
S18	Non-hib	21.02.2020	15:25:01	36,097
S18	Non-hib	21.02.2020	15:45:01	36,534
S18	Non-hib	21.02.2020	16:05:01	37,095
S18	Non-hib	21.02.2020	16:25:01	36,159
S18	Non-hib	21.02.2020	16:45:01	35,723
S18	Non-hib	21.02.2020	17:05:01	36,721
S18	Non-hib	21.02.2020	17:25:01	36,534
S18	Non-hib	21.02.2020	17:45:01	36,222
S18	Non-hib	21.02.2020	18:05:01	36,471
S18	Non-hib	21.02.2020	18:25:01	35,972
S18	Non-hib	21.02.2020	18:45:01	35,785
S18	Non-hib	21.02.2020	19:05:01	36,596
S18	Non-hib	21.02.2020	19:25:01	36,222
S18	Non-hib	21.02.2020	19:45:01	36,471
S18	Non-hib	21.02.2020	20:05:01	36,409
S18	Non-hib	21.02.2020	20:25:01	35,598
S18	Non-hib	21.02.2020	20:45:01	37,095
S18	Non-hib	21.02.2020	21:05:01	36,658
S18	Non-hib	21.02.2020	21:25:01	36,783
S18	Non-hib	21.02.2020	21:45:01	36,409
S18	Non-hib	21.02.2020	22:05:01	36,222
S18	Non-hib	21.02.2020	22:25:01	36,159
S18	Non-hib	21.02.2020	22:45:01	36,534
S18	Non-hib	21.02.2020	23:05:01	36,346
S18	Non-hib	21.02.2020	23:25:01	36,534
S18	Non-hib	21.02.2020	23:45:01	36,783
S18	Non-hib	22.02.2020	00:05:01	36,346
S18	Non-hib	22.02.2020	00:25:01	36,284
S18	Non-hib	22.02.2020	00:45:01	36,97
S18	Non-hib	22.02.2020	01:05:01	37,095
S18	Non-hib	22.02.2020	01:25:01	36,346
S18	Non-hib	22.02.2020	01:45:01	38,155
S18	Non-hib	22.02.2020	02:05:01	38,093
S18	Non-hib	22.02.2020	02:25:01	36,783
S18	Non-hib	22.02.2020	02:45:01	36,845
S18	Non-hib	22.02.2020	03:05:01	35,847
S18	Non-hib	22.02.2020	03:25:01	35,348
S18	Non-hib	22.02.2020	03:45:01	35,847
S18	Non-hib	22.02.2020	04:05:01	36,721
S18	Non-hib	22.02.2020	04:25:01	37,781
S18	Non-hib	22.02.2020	04:45:01	37,594
S18	Non-hib	22.02.2020	05:05:01	36,783
S18	Non-hib	22.02.2020	05:25:01	36,783
S18	Non-hib	22.02.2020	05:45:01	36,222
S18	Non-hib	22.02.2020	06:05:01	35,91
S18	Non-hib	22.02.2020	06:25:01	36,097
S18	Non-hib	22.02.2020	06:45:01	35,91
S18	Non-hib	22.02.2020	07:05:01	35,66
S18	Non-hib	22.02.2020	07:25:01	35,785
S18	Non-hib	22.02.2020	07:45:01	36,658
S18	Non-hib	22.02.2020	08:05:01	35,91
S18	Non-hib	22.02.2020	08:25:01	35,535
S18	Non-hib	22.02.2020	08:45:01	35,91
S18	Non-hib	22.02.2020	09:05:01	36,284
S18	Non-hib	22.02.2020	09:25:01	35,972
S18	Non-hib	22.02.2020	09:45:01	35,91
S18	Non-hib	22.02.2020	10:05:01	36,097
S18	Non-hib	22.02.2020	10:25:01	35,348
S18	Non-hib	22.02.2020	10:45:01	36,034
S18	Non-hib	22.02.2020	11:05:01	35,972
S18	Non-hib	22.02.2020	11:25:01	35,161
S18	Non-hib	22.02.2020	11:45:01	35,598
S18	Non-hib	22.02.2020	12:05:01	35,66
S18	Non-hib	22.02.2020	12:25:01	35,411
S18	Non-hib	22.02.2020	12:45:01	36,222
S18	Non-hib	22.02.2020	13:05:01	35,847
S18	Non-hib	22.02.2020	13:25:01	35,785
S18	Non-hib	22.02.2020	13:45:01	35,161
S18	Non-hib	22.02.2020	14:05:01	35,224
S18	Non-hib	22.02.2020	14:25:01	36,658
S18	Non-hib	22.02.2020	14:45:01	36,284
S18	Non-hib	22.02.2020	15:05:01	36,284
S18	Non-hib	22.02.2020	15:25:01	35,535
S18	Non-hib	22.02.2020	15:45:01	36,222
S18	Non-hib	22.02.2020	16:05:01	35,847
S18	Non-hib	22.02.2020	16:25:01	36,284
S18	Non-hib	22.02.2020	16:45:01	36,845
S18	Non-hib	22.02.2020	17:05:01	36,783
S18	Non-hib	22.02.2020	17:25:01	36,159
S18	Non-hib	22.02.2020	17:45:01	36,471
S18	Non-hib	22.02.2020	18:05:01	36,097
S18	Non-hib	22.02.2020	18:25:01	35,847
S18	Non-hib	22.02.2020	18:45:01	36,346
S18	Non-hib	22.02.2020	19:05:01	35,91
S18	Non-hib	22.02.2020	19:25:01	35,411
S18	Non-hib	22.02.2020	19:45:01	36,034
S18	Non-hib	22.02.2020	20:05:01	35,91
S18	Non-hib	22.02.2020	20:25:01	35,598
S18	Non-hib	22.02.2020	20:45:01	37,032
S18	Non-hib	22.02.2020	21:05:01	36,783
S18	Non-hib	22.02.2020	21:25:01	36,534
S18	Non-hib	22.02.2020	21:45:01	35,91
S18	Non-hib	22.02.2020	22:05:01	35,411
S18	Non-hib	22.02.2020	22:25:01	36,534
S18	Non-hib	22.02.2020	22:45:01	37,22
S18	Non-hib	22.02.2020	23:05:01	37,531
S18	Non-hib	22.02.2020	23:25:01	37,531
S18	Non-hib	22.02.2020	23:45:01	36,721
S18	Non-hib	23.02.2020	00:05:01	35,91
S18	Non-hib	23.02.2020	00:25:01	36,721
S18	Non-hib	23.02.2020	00:45:01	36,534
S18	Non-hib	23.02.2020	01:05:01	36,159
S18	Non-hib	23.02.2020	01:25:01	36,534
S18	Non-hib	23.02.2020	01:45:01	36,409
S18	Non-hib	23.02.2020	02:05:01	36,471
S18	Non-hib	23.02.2020	02:25:01	36,409
S18	Non-hib	23.02.2020	02:45:01	37,843
S18	Non-hib	23.02.2020	03:05:01	38,155
S18	Non-hib	23.02.2020	03:25:01	37,344
S18	Non-hib	23.02.2020	03:45:01	36,97
S18	Non-hib	23.02.2020	04:05:01	36,534
S18	Non-hib	23.02.2020	04:25:01	36,471
S18	Non-hib	23.02.2020	04:45:01	37,344
S18	Non-hib	23.02.2020	05:05:01	37,157
S18	Non-hib	23.02.2020	05:25:01	36,409
S18	Non-hib	23.02.2020	05:45:01	35,66
S18	Non-hib	23.02.2020	06:05:01	35,723
S18	Non-hib	23.02.2020	06:25:01	36,409
S18	Non-hib	23.02.2020	06:45:01	35,972
S18	Non-hib	23.02.2020	07:05:01	35,972
S18	Non-hib	23.02.2020	07:25:01	35,036
S18	Non-hib	23.02.2020	07:45:01	36,284
S18	Non-hib	23.02.2020	08:05:01	35,847
S18	Non-hib	23.02.2020	08:25:01	35,224
S18	Non-hib	23.02.2020	08:45:01	35,099
S18	Non-hib	23.02.2020	09:05:01	35,91
S18	Non-hib	23.02.2020	09:25:01	36,658
S18	Non-hib	23.02.2020	09:45:01	35,723
S18	Non-hib	23.02.2020	10:05:01	35,411
S18	Non-hib	23.02.2020	10:25:01	35,161
S18	Non-hib	23.02.2020	10:45:01	35,411
S18	Non-hib	23.02.2020	11:05:01	35,286
S18	Non-hib	23.02.2020	11:25:01	35,91
S18	Non-hib	23.02.2020	11:45:01	35,286
S18	Non-hib	23.02.2020	12:05:01	35,847
S18	Non-hib	23.02.2020	12:25:01	36,284
S18	Non-hib	23.02.2020	12:45:01	35,785
S18	Non-hib	23.02.2020	13:05:01	36,346
S18	Non-hib	23.02.2020	13:25:01	36,471
S18	Non-hib	23.02.2020	13:45:01	36,159
S18	Non-hib	23.02.2020	14:05:01	36,845
S18	Non-hib	23.02.2020	14:25:01	36,409
S18	Non-hib	23.02.2020	14:45:01	36,596
S18	Non-hib	23.02.2020	15:05:01	36,534
S18	Non-hib	23.02.2020	15:25:01	36,346
S18	Non-hib	23.02.2020	15:45:01	35,91
S18	Non-hib	23.02.2020	16:05:01	36,471
S18	Non-hib	23.02.2020	16:25:01	36,845
S18	Non-hib	23.02.2020	16:45:01	36,346
S18	Non-hib	23.02.2020	17:05:01	35,91
S18	Non-hib	23.02.2020	17:25:01	36,346
S18	Non-hib	23.02.2020	17:45:01	36,845
S18	Non-hib	23.02.2020	18:05:01	36,658
S18	Non-hib	23.02.2020	18:25:01	36,034
S18	Non-hib	23.02.2020	18:45:01	35,535
S18	Non-hib	23.02.2020	19:05:01	35,785
S18	Non-hib	23.02.2020	19:25:01	35,66
S18	Non-hib	23.02.2020	19:45:01	36,596
S18	Non-hib	23.02.2020	20:05:01	36,471
S18	Non-hib	23.02.2020	20:25:01	36,471
S18	Non-hib	23.02.2020	20:45:01	36,097
S18	Non-hib	23.02.2020	21:05:01	35,723
S18	Non-hib	23.02.2020	21:25:01	36,097
S18	Non-hib	23.02.2020	21:45:01	36,284
S18	Non-hib	23.02.2020	22:05:01	35,972
S18	Non-hib	23.02.2020	22:25:01	36,783
S18	Non-hib	23.02.2020	22:45:01	36,222
S18	Non-hib	23.02.2020	23:05:01	35,723
S18	Non-hib	23.02.2020	23:25:01	35,785
S18	Non-hib	23.02.2020	23:45:01	37,594
S18	Non-hib	24.02.2020	00:05:01	37,531
S18	Non-hib	24.02.2020	00:25:01	37,656
S18	Non-hib	24.02.2020	00:45:01	37,781
S18	Non-hib	24.02.2020	01:05:01	36,908
S18	Non-hib	24.02.2020	01:25:01	36,409
S18	Non-hib	24.02.2020	01:45:01	36,346
S18	Non-hib	24.02.2020	02:05:01	36,783
S18	Non-hib	24.02.2020	02:25:01	37,407
S18	Non-hib	24.02.2020	02:45:01	38,03
S18	Non-hib	24.02.2020	03:05:01	37,157
S18	Non-hib	24.02.2020	03:25:01	36,409
S18	Non-hib	24.02.2020	03:45:01	36,284
S18	Non-hib	24.02.2020	04:05:01	37,344
S18	Non-hib	24.02.2020	04:25:01	37,157
S18	Non-hib	24.02.2020	04:45:01	37,157
S18	Non-hib	24.02.2020	05:05:01	36,034
S18	Non-hib	24.02.2020	05:25:01	36,097
S18	Non-hib	24.02.2020	05:45:01	35,598
S18	Non-hib	24.02.2020	06:05:01	36,159
S18	Non-hib	24.02.2020	06:25:01	36,159
S18	Non-hib	24.02.2020	06:45:01	36,159
S18	Non-hib	24.02.2020	07:05:01	35,785
S18	Non-hib	24.02.2020	07:25:01	35,66
S18	Non-hib	24.02.2020	07:45:01	35,036
S18	Non-hib	24.02.2020	08:05:01	34,724
S18	Non-hib	24.02.2020	08:25:01	35,598
S18	Non-hib	24.02.2020	08:45:01	35,099
S18	Non-hib	24.02.2020	09:05:01	35,099
S18	Non-hib	24.02.2020	09:25:01	35,91
S18	Non-hib	24.02.2020	09:45:01	35,224
S18	Non-hib	24.02.2020	10:05:01	36,346
S18	Non-hib	24.02.2020	10:25:01	35,972
S18	Non-hib	24.02.2020	10:45:01	35,598
S18	Non-hib	24.02.2020	11:05:01	35,66
S18	Non-hib	24.02.2020	11:25:01	35,161
S18	Non-hib	24.02.2020	11:45:01	36,346
S18	Non-hib	24.02.2020	12:05:01	35,286
S18	Non-hib	24.02.2020	12:25:01	35,535
S18	Non-hib	24.02.2020	12:45:01	35,286
S18	Non-hib	24.02.2020	13:05:01	35,411
S18	Non-hib	24.02.2020	13:25:01	35,224
S18	Non-hib	24.02.2020	13:45:01	36,471
S18	Non-hib	24.02.2020	14:05:01	35,972
S18	Non-hib	24.02.2020	14:25:01	36,534
S18	Non-hib	24.02.2020	14:45:01	36,222
S18	Non-hib	24.02.2020	15:05:01	35,785
S18	Non-hib	24.02.2020	15:25:01	35,847
S18	Non-hib	24.02.2020	15:45:01	36,097
S18	Non-hib	24.02.2020	16:05:01	36,783
S18	Non-hib	24.02.2020	16:25:01	36,471
S18	Non-hib	24.02.2020	16:45:01	36,409
S18	Non-hib	24.02.2020	17:05:01	36,721
S18	Non-hib	24.02.2020	17:25:01	36,534
S18	Non-hib	24.02.2020	17:45:01	36,845
S18	Non-hib	24.02.2020	18:05:01	36,471
S18	Non-hib	24.02.2020	18:25:01	36,409
S18	Non-hib	24.02.2020	18:45:01	36,596
S18	Non-hib	24.02.2020	19:05:01	36,034
S18	Non-hib	24.02.2020	19:25:01	36,222
S18	Non-hib	24.02.2020	19:45:01	36,783
S18	Non-hib	24.02.2020	20:05:01	36,284
S18	Non-hib	24.02.2020	20:25:01	36,159
S18	Non-hib	24.02.2020	20:45:01	36,908
S18	Non-hib	24.02.2020	21:05:01	36,534
S18	Non-hib	24.02.2020	21:25:01	36,409
S18	Non-hib	24.02.2020	21:45:01	36,596
S18	Non-hib	24.02.2020	22:05:01	36,222
S18	Non-hib	24.02.2020	22:25:01	36,845
S18	Non-hib	24.02.2020	22:45:01	36,409
S18	Non-hib	24.02.2020	23:05:01	36,034
S18	Non-hib	24.02.2020	23:25:01	36,658
S18	Non-hib	24.02.2020	23:45:01	36,908
S18	Non-hib	25.02.2020	00:05:01	36,596
S18	Non-hib	25.02.2020	00:25:01	36,658
S18	Non-hib	25.02.2020	00:45:01	37,843
S18	Non-hib	25.02.2020	01:05:01	37,032
S18	Non-hib	25.02.2020	01:25:01	37,407
S18	Non-hib	25.02.2020	01:45:01	37,095
S18	Non-hib	25.02.2020	02:05:01	37,032
S18	Non-hib	25.02.2020	02:25:01	38,28
S18	Non-hib	25.02.2020	02:45:01	37,469
S18	Non-hib	25.02.2020	03:05:01	36,596
S18	Non-hib	25.02.2020	03:25:01	35,91
S18	Non-hib	25.02.2020	03:45:01	37,032
S18	Non-hib	25.02.2020	04:05:01	36,409
S18	Non-hib	25.02.2020	04:25:01	35,411
S18	Non-hib	25.02.2020	04:45:01	36,658
S18	Non-hib	25.02.2020	05:05:01	36,721
S18	Non-hib	25.02.2020	05:25:01	36,034
S18	Non-hib	25.02.2020	05:45:01	35,036
S18	Non-hib	25.02.2020	06:05:01	35,972
S18	Non-hib	25.02.2020	06:25:01	35,66
S18	Non-hib	25.02.2020	06:45:01	35,473
S18	Non-hib	25.02.2020	07:05:01	34,912
S18	Non-hib	25.02.2020	07:25:01	35,348
S18	Non-hib	25.02.2020	07:45:01	34,974
S18	Non-hib	25.02.2020	08:05:01	34,912
S18	Non-hib	25.02.2020	08:25:01	35,036
S18	Non-hib	25.02.2020	08:45:01	36,159
S18	Non-hib	25.02.2020	09:05:01	35,91
S18	Non-hib	25.02.2020	09:25:01	35,847
S18	Non-hib	25.02.2020	09:45:01	35,785
S18	Non-hib	25.02.2020	10:05:01	35,723
S18	Non-hib	25.02.2020	10:25:01	36,097
S18	Non-hib	25.02.2020	10:45:01	36,346
S18	Non-hib	25.02.2020	11:05:01	36,284
S18	Non-hib	25.02.2020	11:25:01	36,908
S18	Non-hib	25.02.2020	11:45:01	36,845
S18	Non-hib	25.02.2020	12:05:01	36,596
S18	Non-hib	25.02.2020	12:25:01	36,596
S18	Non-hib	25.02.2020	12:45:01	36,346
S18	Non-hib	25.02.2020	13:05:01	36,222
S18	Non-hib	25.02.2020	13:25:01	35,535
S18	Non-hib	25.02.2020	13:45:01	36,346
S18	Non-hib	25.02.2020	14:05:01	36,596
S18	Non-hib	25.02.2020	14:25:01	36,346
S18	Non-hib	25.02.2020	14:45:01	36,159
S18	Non-hib	25.02.2020	15:05:01	36,222
S18	Non-hib	25.02.2020	15:25:01	35,785
S18	Non-hib	25.02.2020	15:45:01	35,785
S18	Non-hib	25.02.2020	16:05:01	35,66
S18	Non-hib	25.02.2020	16:25:01	36,845
S18	Non-hib	25.02.2020	16:45:01	36,534
S18	Non-hib	25.02.2020	17:05:01	36,845
S18	Non-hib	25.02.2020	17:25:01	36,721
S18	Non-hib	25.02.2020	17:45:01	36,034
S18	Non-hib	25.02.2020	18:05:01	36,346
S18	Non-hib	25.02.2020	18:25:01	36,534
S18	Non-hib	25.02.2020	18:45:01	36,159
S18	Non-hib	25.02.2020	19:05:01	36,034
S18	Non-hib	25.02.2020	19:25:01	36,284
S18	Non-hib	25.02.2020	19:45:01	36,222
S18	Non-hib	25.02.2020	20:05:01	36,471
S18	Non-hib	25.02.2020	20:25:01	36,222
S18	Non-hib	25.02.2020	20:45:01	36,346
S18	Non-hib	25.02.2020	21:05:01	36,534
S18	Non-hib	25.02.2020	21:25:01	35,972
S18	Non-hib	25.02.2020	21:45:01	36,845
S18	Non-hib	25.02.2020	22:05:01	36,534
S18	Non-hib	25.02.2020	22:25:01	36,346
S18	Non-hib	25.02.2020	22:45:01	36,97
S18	Non-hib	25.02.2020	23:05:01	36,534
S18	Non-hib	25.02.2020	23:25:01	36,346
S18	Non-hib	25.02.2020	23:45:01	36,596
S18	Non-hib	26.02.2020	00:05:01	36,222
S18	Non-hib	26.02.2020	00:25:01	36,534
S18	Non-hib	26.02.2020	00:45:01	36,721
S18	Non-hib	26.02.2020	01:05:01	36,845
S18	Non-hib	26.02.2020	01:25:01	37,095
S18	Non-hib	26.02.2020	01:45:01	37,407
S18	Non-hib	26.02.2020	02:05:01	37,032
S18	Non-hib	26.02.2020	02:25:01	38,654
S18	Non-hib	26.02.2020	02:45:01	36,97
S18	Non-hib	26.02.2020	03:05:01	37,531
S18	Non-hib	26.02.2020	03:25:01	36,783
S18	Non-hib	26.02.2020	03:45:01	35,847
S18	Non-hib	26.02.2020	04:05:01	35,785
S18	Non-hib	26.02.2020	04:25:01	36,097
S18	Non-hib	26.02.2020	04:45:01	36,596
S18	Non-hib	26.02.2020	05:05:01	36,534
S18	Non-hib	26.02.2020	05:25:01	35,66
S18	Non-hib	26.02.2020	05:45:01	34,974
S18	Non-hib	26.02.2020	06:05:01	35,972
S18	Non-hib	26.02.2020	06:25:01	36,034
S18	Non-hib	26.02.2020	06:45:01	35,598
S18	Non-hib	26.02.2020	07:05:01	35,411
S18	Non-hib	26.02.2020	07:25:01	35,411
S18	Non-hib	26.02.2020	07:45:01	35,785
S18	Non-hib	26.02.2020	08:05:01	35,224
S18	Non-hib	26.02.2020	08:25:01	35,348
S18	Non-hib	26.02.2020	08:45:01	36,409
S18	Non-hib	26.02.2020	09:05:01	36,534
S18	Non-hib	26.02.2020	09:25:01	36,284
S18	Non-hib	26.02.2020	09:45:01	36,222
S18	Non-hib	26.02.2020	10:05:01	36,097
S18	Non-hib	26.02.2020	10:25:01	36,658
S18	Non-hib	26.02.2020	10:45:01	36,471
S18	Non-hib	26.02.2020	11:05:01	36,222
S18	Non-hib	26.02.2020	11:25:01	35,598
S18	Non-hib	26.02.2020	11:45:01	35,411
S18	Non-hib	26.02.2020	12:05:01	36,284
S18	Non-hib	26.02.2020	12:25:01	36,159
S18	Non-hib	26.02.2020	12:45:01	36,346
S18	Non-hib	26.02.2020	13:05:01	36,222
S18	Non-hib	26.02.2020	13:25:01	35,535
S18	Non-hib	26.02.2020	13:45:01	35,348
S18	Non-hib	26.02.2020	14:05:01	35,723
S18	Non-hib	26.02.2020	14:25:01	36,534
S18	Non-hib	26.02.2020	14:45:01	36,721
S18	Non-hib	26.02.2020	15:05:01	35,847
S18	Non-hib	26.02.2020	15:25:01	35,91
S18	Non-hib	26.02.2020	15:45:01	37,095
S18	Non-hib	26.02.2020	16:05:01	36,845
S18	Non-hib	26.02.2020	16:25:01	36,409
S18	Non-hib	26.02.2020	16:45:01	35,723
S18	Non-hib	26.02.2020	17:05:01	36,596
S18	Non-hib	26.02.2020	17:25:01	36,471
S18	Non-hib	26.02.2020	17:45:01	36,845
S18	Non-hib	26.02.2020	18:05:01	36,222
S18	Non-hib	26.02.2020	18:25:01	35,473
S18	Non-hib	26.02.2020	18:45:01	35,161
S18	Non-hib	26.02.2020	19:05:01	36,159
S18	Non-hib	26.02.2020	19:25:01	36,284
S18	Non-hib	26.02.2020	19:45:01	35,847
S18	Non-hib	26.02.2020	20:05:01	35,411
S18	Non-hib	26.02.2020	20:25:01	36,284
S18	Non-hib	26.02.2020	20:45:01	36,471
S18	Non-hib	26.02.2020	21:05:01	36,471
S18	Non-hib	26.02.2020	21:25:01	37,157
S18	Non-hib	26.02.2020	21:45:01	36,908
S18	Non-hib	26.02.2020	22:05:01	36,721
S18	Non-hib	26.02.2020	22:25:01	36,97
S18	Non-hib	26.02.2020	22:45:01	37,469
S18	Non-hib	26.02.2020	23:05:01	38,529
S18	Non-hib	26.02.2020	23:25:01	37,344
